"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证 bool() 转换","0","test_bool_conversion","tests.unit","2026-07-16","passed","2026-07-16","TestSoftAssertions","test_data_driven","",""
"简单模式构建请求体","0","test_build_request_body_simple","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"","0","test_extract_list_index","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerExtractVars","test_web_platform","",""
"","1","test_invalid_json_kept_as_string","tests.unit","2026-07-16","passed","2026-07-16","TestParserCSV","test_web_platform","",""
"","0","test_auto_parse_json_list","tests.unit","2026-07-16","passed","2026-07-16","TestParseFileDispatch","test_web_platform","",""
"每行应包含 _row_num","10","test_xlsx_row_numbers","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderXLSX","test_data_reader","",""
"超过最大重试次数应抛出异常","11","test_max_retry_exceeded","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientRetry","test_http_client","",""
"","0","test_detect_format","tests.unit","2026-07-16","passed","2026-07-16","TestParseFileDispatch","test_web_platform","",""
"","1","test_get","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientMethods","test_http_client","",""
"验证全局 config 和新建 ConfigLoader 是同一实例","0","test_singleton_same_instance","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderSingleton","test_config_loader","",""
"","0","test_path_without_leading_slash","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerBuildRequest","test_web_platform","",""
"","0","test_parse_file_csv","tests.unit","2026-07-16","passed","2026-07-16","TestParseFileDispatch","test_web_platform","",""
"","1","test_delete","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientMethods","test_http_client","",""
"","1","test_all_pass","tests.unit","2026-07-16","passed","2026-07-16","TestSoftAssertions","test_data_driven","",""
"","0","test_short_kept","tests.unit","2026-07-16","passed","2026-07-16","TestTruncate","test_web_platform","",""
"","0","test_extract_missing_ignored","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerExtractVars","test_web_platform","",""
"expected_response 覆盖 expected_xxx","0","test_build_expected_fields_json_override","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"超时应触发重试","12","test_timeout_retry","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientRetry","test_http_client","",""
"","0","test_detect_empty_rows","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderDetectFormat","test_data_reader","",""
"","0","test_uuid_short_length","tests.unit","2026-07-16","passed","2026-07-16","TestRenderDynamicPlaceholders","test_web_platform","",""
"","0","test_field_match","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerAssert","test_web_platform","",""
"","0","test_default_init","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientInit","test_http_client","",""
"logger 可以正常输出日志","1","test_logger_can_log","tests.unit","2026-07-16","passed","2026-07-16","TestLogger","test_logger","",""
"","0","test_nested_dict_and_list","tests.unit","2026-07-16","passed","2026-07-16","TestRenderAllPlaceholders","test_web_platform","",""
"状态码不匹配 - 应抛出异常","2","test_status_code_mismatch_raises","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"字段断言不匹配","2","test_field_assertion_mismatch","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"通用模式 - 无 request_body","0","test_build_request_body_generic_no_body","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"","0","test_plain_string","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderAutoConvert","test_data_reader","",""
"","1","test_uuid_replaced","tests.unit","2026-07-16","passed","2026-07-16","TestRenderDynamicPlaceholders","test_web_platform","",""
"__list_min 字段","1","test_special_field_list_min","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"全局 logger 存在","1","test_default_logger_exists","tests.unit","2026-07-16","passed","2026-07-16","TestLogger","test_logger","",""
"从 expected_xxx 列提取期望字段","0","test_build_expected_fields_from_column","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"logger 至少有一个 handler","0","test_logger_has_handlers","tests.unit","2026-07-16","passed","2026-07-16","TestLogger","test_logger","",""
"非 JSON 响应","1","test_non_json_response","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"","0","test_random_str_length","tests.unit","2026-07-16","passed","2026-07-16","TestRenderDynamicPlaceholders","test_web_platform","",""
"","0","test_random_int_in_range","tests.unit","2026-07-16","passed","2026-07-16","TestRenderDynamicPlaceholders","test_web_platform","",""
"","0","test_missing_key_returns_none","tests.unit","2026-07-16","passed","2026-07-16","TestGetNested","test_utils","",""
"通用模式 - dict request_body（已被 DataReader 解析）","1","test_build_request_body_generic_dict","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"","0","test_get_nonexistent_key","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderGet","test_config_loader","",""
"状态码匹配 - 应通过","2","test_status_code_match","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"构建查询参数","0","test_build_query_params","tests.unit","2026-07-16","passed","2026-07-16","TestRequestBuilder","test_data_driven","",""
"","1","test_variable_pool_substitution","tests.unit","2026-07-16","passed","2026-07-16","TestRenderAllPlaceholders","test_web_platform","",""
